,EASTERN REGION,,,,METROPOLITAN NORTH WEST REGION,,,,METROPOLITAN SOUTH EAST REGION,,,,NORTH EASTERN REGION,,,,NORTHERN REGION,,,,SOUTH WESTERN REGION,,,,WESTERN REGION,,,
DATE,FATAL,SERIOUS,NOINJURY,OTHER,FATAL,SERIOUS,NOINJURY,OTHER,FATAL,SERIOUS,NOINJURY,OTHER,FATAL,SERIOUS,NOINJURY,OTHER,FATAL,SERIOUS,NOINJURY,OTHER,FATAL,SERIOUS,NOINJURY,OTHER,FATAL,SERIOUS,NOINJURY,OTHER
20/9/2015,0,1,0,1,0,6,0,10,1,11,0,12,0,2,0,4,0,2,0,2,0,3,0,0,0,0,0,3
21/9/2015,0,1,0,0,0,4,0,7,0,5,0,5,0,1,0,2,0,0,0,1,0,0,0,1,0,1,0,4
22/9/2015,0,1,0,2,0,2,0,9,0,3,0,12,0,0,0,0,0,2,0,4,0,0,0,1,1,0,0,3
23/9/2015,0,1,0,3,1,6,0,10,2,5,0,4,0,0,0,2,0,0,0,2,0,1,0,4,0,0,0,3
24/9/2015,0,0,0,0,0,2,0,10,1,5,0,3,1,0,0,0,0,1,0,2,0,0,0,3,0,1,0,0
25/9/2015,0,1,0,2,0,7,0,11,0,5,0,7,0,2,0,3,1,2,0,1,0,2,0,2,0,2,0,0
26/9/2015,0,1,0,3,0,9,0,9,0,10,0,7,0,2,0,1,0,1,0,3,1,3,0,2,0,1,0,4
27/9/2015,0,1,0,2,0,6,0,5,0,8,0,2,0,1,0,1,0,2,0,1,0,3,0,0,0,1,0,5
28/9/2015,1,0,0,1,0,2,0,11,0,2,0,15,0,0,0,2,1,0,0,4,0,0,0,1,0,1,0,0
29/9/2015,0,0,0,3,0,5,0,11,0,7,0,9,0,0,0,1,0,1,0,0,0,2,0,1,0,0,0,1
30/9/2015,0,1,0,0,0,6,0,13,0,4,0,14,0,0,0,4,0,1,0,2,0,2,0,1,0,0,0,1
1/10/2015,0,3,0,2,0,10,0,14,2,5,0,14,0,1,0,0,0,1,0,3,0,2,0,2,0,0,0,0
2/10/2015,0,1,0,4,1,5,0,7,0,9,0,7,0,4,0,0,0,2,0,4,0,0,0,2,0,3,0,3
3/10/2015,0,0,0,1,1,5,0,5,0,5,0,10,0,2,0,3,0,2,0,0,0,2,0,2,0,0,0,3
4/10/2015,0,0,0,0,0,4,0,10,0,7,0,8,0,3,0,2,0,2,0,2,0,3,0,3,0,1,0,0
5/10/2015,0,1,0,1,0,5,0,12,0,8,0,8,1,3,0,0,0,1,0,1,0,1,0,0,0,1,0,2
6/10/2015,0,0,0,0,0,6,0,15,1,5,0,9,0,1,0,1,0,0,0,4,0,0,0,0,0,0,0,4
7/10/2015,1,1,0,2,0,9,0,12,0,3,0,5,0,0,0,3,0,0,0,1,0,0,0,1,1,1,0,3
8/10/2015,0,0,0,1,1,4,0,15,1,9,0,8,0,0,0,3,0,1,0,2,0,0,0,0,1,1,0,2
9/10/2015,0,1,0,2,0,6,0,16,1,10,0,16,0,1,0,2,0,0,0,1,0,1,0,3,0,1,0,2
10/10/2015,0,2,0,1,0,9,0,2,0,7,0,7,0,3,0,2,0,0,0,0,0,1,0,5,0,1,0,1
11/10/2015,0,1,0,0,0,6,0,11,0,5,0,8,0,0,0,2,0,2,0,0,0,1,0,3,0,1,0,1
12/10/2015,0,2,0,2,0,7,0,11,0,6,0,8,0,0,0,0,0,1,0,1,0,3,0,1,1,1,0,3
13/10/2015,0,0,0,0,0,8,0,12,0,12,0,8,0,2,0,3,0,0,0,2,0,2,0,1,0,0,0,2
14/10/2015,0,0,0,3,2,9,0,10,0,9,0,20,0,2,0,1,0,2,0,1,0,1,0,2,0,3,0,1
15/10/2015,0,0,0,2,0,8,0,8,1,9,0,10,1,4,0,2,0,0,0,3,0,1,0,2,0,0,0,3
16/10/2015,0,0,0,0,0,8,0,15,0,13,0,11,0,0,0,0,0,0,0,2,0,2,0,1,0,1,0,0
17/10/2015,0,1,0,6,0,5,0,13,1,3,0,9,0,1,0,0,0,2,0,0,0,1,0,3,1,1,0,4
18/10/2015,0,1,0,1,0,7,0,2,0,4,0,9,1,1,0,3,0,1,0,1,0,0,0,0,0,0,0,0
19/10/2015,0,0,0,0,0,3,0,13,1,7,0,10,0,0,0,2,0,0,0,0,0,0,0,3,0,1,0,3
20/10/2015,1,0,0,3,0,4,0,19,0,7,0,11,0,1,0,2,0,3,0,3,0,3,0,1,0,1,0,0
21/10/2015,0,0,0,0,0,4,0,14,0,9,0,6,0,1,0,2,0,1,0,1,0,2,0,0,0,0,0,3
22/10/2015,0,2,0,1,1,12,0,18,0,8,0,10,1,1,0,1,0,3,0,1,0,2,0,0,0,3,0,2
