"STATION","NAME","DATE","PRCP","TMAX","TMIN"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-01-14","0.03","66","59"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-01-15","0.07","69","55"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-01-16","0.00","75","48"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-01-17","0.00","90","56"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-01-18","0.00","99","60"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-01-19","0.00","88","60"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-01-20","0.07","85","63"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-01-21","0.04","78","63"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-01-22","0.07","73","60"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-01-23","0.18","73","61"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-01-24","0.07","72","60"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-01-25","0.00","72","59"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-01-26","0.00","86","59"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-01-27","0.00","89","67"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-01-28","0.10","82","68"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-01-29","0.76","65","56"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-01-30","0.04","74","51"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-01-31","0.42","73","55"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-02-01","0.00","75","54"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-02-02","0.00","88","57"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-02-03","0.03","71","64"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-02-04","0.08","72","62"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-02-05","0.00","85","58"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-02-06","0.00","90","57"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-02-07","0.00","84","63"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-02-08","0.00","74","65"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-02-09","0.00","77","63"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-02-10","0.00","74","60"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-02-11","0.00","78","59"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-02-12","0.00","81","57"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-02-13","0.00","84","59"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-02-14","0.05","76","62"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-02-15","0.00","78","58"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-02-16","0.11","67","56"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-02-17","0.11","70","57"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-02-18","0.06","72","58"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-02-19","0.00","74","57"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-02-20","0.00","72","58"
